date,narration,amount,type
2026-04-11,INTEREST CREDIT SB,142.00,credit
2026-04-26,JIO FIBER BILL APR,999.00,debit
2026-04-03,APOLLO PHARMACY,780.00,debit
2026-04-01,UPI/P2P/PRIYA SINGH,1500.00,debit
2026-04-24,BAJAJ FINSERV EMI,3200.00,debit
2026-04-08,UDEMY COURSE PURCHASE,449.00,debit
2026-04-26,ZERODHA FUND TRANSFER,10000.00,debit
2026-04-17,UPI REFUND SWIGGY,340.00,credit
2026-04-27,OLA RIDE 29APR,189.00,debit
2026-04-01,STAR HEALTH PREMIUM,12000.00,debit
2026-04-25,UBER TRIP MUMBAI,347.00,debit
2026-04-08,NETFLIX.COM,649.00,debit
2026-04-23,AMAZON PAY INV/2026/04,2499.00,debit
2026-04-09,SWIGGY ORDER #4521,456.00,debit
2026-04-16,ATM CASH WDL ICICI MG ROAD,10000.00,debit
2026-04-28,ZOMATO 8827162,892.00,debit
2026-04-12,DOMINOS PIZZA ORDER,756.00,debit
2026-04-24,TATA POWER BILL,2340.00,debit
2026-04-03,HDFC BANK EMI,15800.00,debit
2026-04-02,FREELANCE PAYMENT,15000.00,credit
2026-04-28,CASHBACK PAYTM,47.00,credit
2026-04-06,NEFT TO SAVINGS 2,25000.00,debit
2026-04-27,ATM CASH WDL SBI ANDHERI,5000.00,debit
2026-04-20,SALARY CREDIT MAR26,65000.00,credit
2026-04-16,AIRTEL PREPAID RCHG,599.00,debit
2026-04-16,MYNTRA FASHION,2890.00,debit
2026-04-06,CASHBACK AMAZON,250.00,credit
2026-04-19,DMart GROCERY,4560.00,debit
2026-04-08,PETROL HPCL STATION,3200.00,debit
2026-04-05,MEESHO ORDER 44521,1120.00,debit
2026-04-23,SOCIETY MAINTENANCE,4500.00,debit
2026-04-10,SALARY CREDIT APR26,65000.00,credit
2026-04-25,CULT.FIT MEMBERSHIP,1499.00,debit
2026-04-02,RENT TRANSFER APR,18000.00,debit
2026-04-16,DIVIDEND HDFC BANK,1200.00,credit
2026-04-22,GROWW MF SIP,5000.00,debit
2026-04-09,SWIGGY ORDER #4521,456.00,debit
2026-04-06,FD INTEREST SBI,3400.00,credit
2026-04-21,SPOTIFY PREMIUM,119.00,debit
2026-04-26,RAPIDO BIKE TAXI,89.00,debit
2026-04-06,CAFE COFFEE DAY,380.00,debit
2026-04-19,NYKAA BEAUTY ORDER,1850.00,debit
2026-04-05,FLIPKART SELLER HUB,1299.00,debit
2026-04-07,DECATHLON SPORTS,3450.00,debit
2026-04-12,UPI/P2P/RAHUL SHARMA,2000.00,debit
