date,description,amount,category
2026-04-23,Society maintenance Q1,4500.00,Rent & Housing
2026-04-06,Amazon cashback reward,250.00,Shopping
2026-04-21,March salary,65000.00,Salary
2026-04-10,Provisions for depreciation,5000.00,Uncategorized
2026-04-17,HDFC Bank dividend Q4,1200.00,Investments
2026-04-22,Groww mutual fund SIP,5000.00,Investments
2026-04-29,Zomato food delivery,892.00,Food & Dining
2026-04-27,Zerodha trading deposit,10000.00,Investments
2026-04-08,Udemy Python course,449.00,Education
2026-04-10,April salary credited,65000.00,Salary
2026-04-07,Decathlon sports gear,3450.00,Shopping
2026-04-10,Team lunch cash payment,2400.00,Food & Dining
2026-04-06,SBI FD interest payout,3400.00,Investments
2026-04-03,Apollo pharmacy medicines,780.00,Healthcare
2026-04-20,Nykaa cosmetics purchase,1850.00,Shopping
2026-04-17,Swiggy refund for cancelled order,340.00,Food & Dining
2026-04-26,Jio broadband monthly,999.00,Utilities
2026-04-27,Cult.fit gym monthly,1499.00,Fitness
2026-04-02,Monthly rent payment,18000.00,Rent & Housing
2026-04-11,Water purifier AMC,1200.00,Utilities
2026-04-27,Rapido bike ride,89.00,Transport
2026-04-24,Bajaj Finance laptop EMI,3200.00,Loan & EMI
2026-04-06,Flipkart order #FK882716,1299.00,Shopping
2026-04-17,Myntra clothing order,2890.00,Shopping
2026-04-27,Ola auto fare,189.00,Transport
2026-04-14,Dominos Friday dinner,756.00,Food & Dining
2026-04-09,HP petrol pump fuel,3200.00,Transport
2026-04-06,Meesho home decor order,1120.00,Shopping
2026-04-09,Swiggy Order,456.00,Food & Dining
2026-04-05,Car loan EMI - HDFC,15800.00,Loan & EMI
2026-04-17,Stationery reimbursement,650.00,Shopping
2026-04-02,Star Health insurance annual,12000.00,Insurance
2026-04-15,Office supplies from local market,890.00,Shopping
2026-04-04,Parking charges monthly,1500.00,Transport
2026-04-23,Amazon purchase - headphones,2499.00,Shopping
2026-04-09,Netflix subscription,649.00,Subscriptions
2026-04-21,Spotify monthly,119.00,Subscriptions
2026-04-19,DMart monthly grocery,4560.00,Shopping
2026-04-25,Uber cab ride,347.00,Transport
2026-04-24,Electricity bill - Apr 2026,2340.00,Utilities
2026-04-06,CCD coffee meeting,380.00,Food & Dining
2026-04-18,Airtel mobile recharge,599.00,Utilities
2026-04-02,Freelance design project,15000.00,Salary
